Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0003721	0	10	16	13	0.0	56.52173913043478	0.0	0.002226038928325998	0.7190105738492975	0.12487512487512488	3	0	3	0.25	0.25
OG0004708	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.12487512487512488	3	3	0	0.25	0.25
OG0004706	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.12487512487512488	3	3	0	0.25	0.25
OG0004707	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.12487512487512488	3	3	0	0.25	0.25
OG0003182	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.12687312687312688	5	5	1	0.0625	0.375
OG0003998	8	0	8	23	50.0	100.0	inf	0.00020918751568905824	0.06756756756756581	0.12787212787212787	4	4	0	0.125	0.125
OG0002344	13	6	3	17	81.25	73.91304347826086	12.277777777777779	0.0010645539010388696	0.3438509100355549	0.13386613386613386	5	5	2	0.0625	1.0
OG0004509	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.14185814185814186	3	3	0	0.25	0.25
OG0004513	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.14885114885114886	3	3	0	0.25	0.25
OG0004512	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.14885114885114886	3	3	0	0.25	0.25
OG0003791	8	0	8	23	50.0	100.0	inf	0.00020918751568905824	0.06756756756756581	0.16183816183816183	4	4	0	0.125	0.125
OG0002577	14	8	2	15	87.5	65.21739130434783	13.125	0.0013334974402827687	0.4307196732113343	0.16183816183816183	5	5	1	0.0625	0.375
OG0003538	9	2	7	21	56.25	91.30434782608695	13.5	0.0026460630692370607	0.8546783713635706	0.16483516483516483	5	4	2	0.375	1.0
OG0001961	15	10	1	13	93.75	56.52173913043478	19.5	0.0018118880993695497	0.5852398560963645	0.16583416583416583	3	3	1	0.25	1.0
OG0004515	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.16883116883116883	3	3	0	0.25	0.25
OG0002477	0	23	16	0	0.0	0.0	0.0	2.651727822798556e-11	8.565080867639336e-09	0.17682317682317683	6	0	6	0.03125	0.03125
OG0003564	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.18081918081918083	3	3	0	0.25	0.25
OG0003516	11	0	5	23	68.75	100.0	inf	2.6061181042463544e-06	0.0008417761476715725	0.1838161838161838	5	5	0	0.0625	0.0625
OG0003517	11	0	5	23	68.75	100.0	inf	2.6061181042463544e-06	0.0008417761476715725	0.1838161838161838	5	5	0	0.0625	0.0625
OG0003518	11	0	5	23	68.75	100.0	inf	2.6061181042463544e-06	0.0008417761476715725	0.1838161838161838	5	5	0	0.0625	0.0625
OG0000173	16	2	0	21	100.0	91.30434782608695	inf	4.057143568881783e-09	1.3104573727488158e-06	0.1878121878121878	6	6	0	0.03125	0.03125
