Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0002517	14	1	5	9	73.68421052631578	90.0	25.2	0.0016991504247875684	0.3058470764617623	0.24275724275724275	5	5	1	0.0625	0.375
OG0001799	9	10	10	0	47.368421052631575	0.0	0.0	0.005005688963709889	0.90102401346778	0.25074925074925075	5	0	5	0.0625	0.0625
OG0001800	9	10	10	0	47.368421052631575	0.0	0.0	0.005005688963709889	0.90102401346778	0.25074925074925075	5	0	5	0.0625	0.0625
OG0000309	19	5	0	5	100.0	50.0	inf	0.002122015915119365	0.38196286472148566	0.25674325674325676	2	2	0	0.5	0.5
OG0003124	14	1	5	9	73.68421052631578	90.0	25.2	0.0016991504247875684	0.3058470764617623	0.25774225774225773	5	5	0	0.0625	0.0625
OG0003125	14	1	5	9	73.68421052631578	90.0	25.2	0.0016991504247875684	0.3058470764617623	0.25774225774225773	5	5	0	0.0625	0.0625
OG0003120	14	1	5	9	73.68421052631578	90.0	25.2	0.0016991504247875684	0.3058470764617623	0.25774225774225773	5	5	0	0.0625	0.0625
OG0004865	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.26973026973026976	2	0	2	0.5	0.5
OG0004870	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.26973026973026976	2	0	2	0.5	0.5
OG0004867	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.26973026973026976	2	0	2	0.5	0.5
OG0004866	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.26973026973026976	2	0	2	0.5	0.5
OG0004868	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.26973026973026976	2	0	2	0.5	0.5
OG0004869	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.26973026973026976	2	0	2	0.5	0.5
OG0000195	19	5	0	5	100.0	50.0	inf	0.002122015915119365	0.38196286472148566	0.27472527472527475	2	2	0	0.5	0.5
OG0002736	6	9	13	1	31.57894736842105	10.0	0.05128205128205128	0.005197401299350226	0.9355322338830406	0.27972027972027974	5	1	4	0.375	0.375
OG0003395	1	7	18	3	5.263157894736842	30.0	0.023809523809523808	0.0005416871983588667	0.097503695704596	0.2827172827172827	4	1	3	0.625	0.625
OG0004509	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.28471528471528473	2	0	2	0.5	0.5
