gene_id	symbol	entrezgene	chromosome_name	heatmap.id
LMB2-1.2_000042	NA	NA	NA	LMB2-1.2_000042
LMB2-1.2_000043	NA	NA	NA	LMB2-1.2_000043
LMB2-1.2_000044	NA	NA	NA	LMB2-1.2_000044
LMB2-1.2_000045	NA	NA	NA	LMB2-1.2_000045
LMB2-1.2_000046	NA	NA	NA	LMB2-1.2_000046
LMB2-1.2_000047	NA	NA	NA	LMB2-1.2_000047
LMB2-1.2_000048	NA	NA	NA	LMB2-1.2_000048
LMB2-1.2_000049	NA	NA	NA	LMB2-1.2_000049
LMB2-1.2_000050	NA	NA	NA	LMB2-1.2_000050
LMB2-1.2_000051	NA	NA	NA	LMB2-1.2_000051
LMB2-1.2_000052	NA	NA	NA	LMB2-1.2_000052
LMB2-1.2_000053	NA	NA	NA	LMB2-1.2_000053
LMB2-1.2_000054	NA	NA	NA	LMB2-1.2_000054
LMB2-1.2_000055	NA	NA	NA	LMB2-1.2_000055
LMB2-1.2_000056	NA	NA	NA	LMB2-1.2_000056
LMB2-1.2_000057	NA	NA	NA	LMB2-1.2_000057
LMB2-1.2_000058	NA	NA	NA	LMB2-1.2_000058
LMB2-1.2_000059	NA	NA	NA	LMB2-1.2_000059
LMB2-1.2_000060	NA	NA	NA	LMB2-1.2_000060
LMB2-1.2_000061	NA	NA	NA	LMB2-1.2_000061
LMB2-1.2_000062	NA	NA	NA	LMB2-1.2_000062
LMB2-1.2_000063	NA	NA	NA	LMB2-1.2_000063
LMB2-1.2_000064	NA	NA	NA	LMB2-1.2_000064
LMB2-1.2_000065	NA	NA	NA	LMB2-1.2_000065
LMB2-1.2_000066	NA	NA	NA	LMB2-1.2_000066
LMB2-1.2_000067	NA	NA	NA	LMB2-1.2_000067
LMB2-1.2_000068	NA	NA	NA	LMB2-1.2_000068
LMB2-1.2_000069	NA	NA	NA	LMB2-1.2_000069
LMB2-1.2_000070	NA	NA	NA	LMB2-1.2_000070
LMB2-1.2_000071	NA	NA	NA	LMB2-1.2_000071
LMB2-1.2_000072	NA	NA	NA	LMB2-1.2_000072
LMB2-1.2_000073	NA	NA	NA	LMB2-1.2_000073
LMB2-1.2_000074	NA	NA	NA	LMB2-1.2_000074
LMB2-1.2_000075	NA	NA	NA	LMB2-1.2_000075
LMB2-1.2_000076	NA	NA	NA	LMB2-1.2_000076
LMB2-1.2_000077	NA	NA	NA	LMB2-1.2_000077
LMB2-1.2_000078	NA	NA	NA	LMB2-1.2_000078
LMB2-1.2_000079	NA	NA	NA	LMB2-1.2_000079
LMB2-1.2_000080	NA	NA	NA	LMB2-1.2_000080
LMB2-1.2_000081	NA	NA	NA	LMB2-1.2_000081
LMB2-1.2_000082	NA	NA	NA	LMB2-1.2_000082
LMB2-1.2_000083	NA	NA	NA	LMB2-1.2_000083
